city,geocode_status,geocode_score,matched_address,lat,lon,station_id,station_name,station_lat,station_lon
"Albany, NY",T,100.0,"Albany, New York",42.651725000000056,-73.75509299999999,USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",,
"Fargo, ND",T,100.0,"Fargo, North Dakota",46.876959500000055,-96.78463619999997,USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",,
"Greer, SC",T,100.0,"Greer, South Carolina",34.93931100000003,-82.22919499999995,USW00003870,"GRNVL SPART INTERNATIONAL AIRPORT, SC US",,
"Wilmington, DE",T,100.0,"Wilmington, Delaware",39.74443180000003,-75.54510029999994,USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",,
"Indianapolis, IN",T,100.0,"Indianapolis, Indiana",39.76845000000003,-86.15621199999998,USW00093819,"INDIANAPOLIS INTERNATIONAL AIRPORT, IN US",,
"Cincinnati, OH",T,100.0,"Cincinnati, Ohio",39.12711000000007,-84.51438999999993,USW00093814,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",,
"West Palm Beach/Palm Beach, FL",T,98.86,"West Palm Beach, Florida",26.71443940000006,-80.05494709999994,USW00012844,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",,
"Philadelphia, PA",T,100.0,"Philadelphia, Pennsylvania",39.95106050000004,-75.16562039999997,USW00093730,"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",,
"Pensacola, FL",T,100.0,"Pensacola, Florida",30.40689660000004,-87.21757109999999,USW00013899,"PENSACOLA REGIONAL AIRPORT, FL US",,
"Portsmouth, NH",T,100.0,"Portsmouth, New Hampshire",43.06490610000003,-70.76709079999995,USW00014745,"CONCORD MUNICIPAL AIRPORT, NH US",,
"Rockford, IL",T,100.0,"Rockford, Illinois",42.26680200000004,-89.08837699999998,USW00094822,"ROCKFORD GREATER ROCKFORD AIRPORT, IL US",,
"St. Cloud, MN",T,100.0,"St. Cloud, Minnesota",45.559293000000025,-94.15651699999995,USW00014926,"ST. CLOUD REGIONAL AIRPORT, MN US",,
"Newburgh/Poughkeepsie, NY",T,85.45,"Poughkeepsie, New York",41.69932200000005,-73.92169399999995,USW00094745,"WESTCHESTER CO AIRPORT, NY US",,
"Van Nuys, CA",T,100.0,"Van Nuys, Los Angeles, California",34.18465100000003,-118.44652399999995,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",,
"Aspen, CO",T,100.0,"Aspen, Colorado",39.190665000000024,-106.81920099999996,USW00093009,"LEADVILLE LAKE CO AIRPORT, CO US",,
"Baltimore, MD",T,100.0,"Baltimore, Maryland",39.29044300000004,-76.61233299999998,USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",,
"Bozeman, MT",T,100.0,"Bozeman, Montana",45.67929400000003,-111.04661099999998,USC00241047,"BOZEMAN 6 W EXPERIMENTAL FARM, MT US",,
"International Falls, MN",T,100.0,"International Falls, Minnesota",48.600947000000076,-93.41581499999995,USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",,
"Daytona Beach, FL",T,100.0,"Daytona Beach, Florida",29.20708540000004,-81.02072569999996,USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",,
"Dallas/Fort Worth, TX",M,100.0,Dallas-Fort Worth,32.58755400000007,-97.19885599999998,USW00013960,"DALLAS FAA AIRPORT, TX US",,
"Orlando, FL",T,100.0,"Orlando, Florida",28.538331000000028,-81.37887899999998,USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",,
"Las Vegas, NV",T,100.0,"Las Vegas, Nevada",36.16909210000006,-115.14057669999994,USW00023169,"HARRY REID INTERNATIONAL AIRPORT, NV US",,
"Fayetteville, NC",T,100.0,"Fayetteville, North Carolina",35.05441700000006,-78.88365899999997,USW00013776,"LUMBERTON REGIONAL AIRPORT, NC US",,
"Lubbock, TX",T,100.0,"Lubbock, Texas",33.58368840000003,-101.85495339999994,USW00023042,"LUBBOCK INTERNATIONAL AIRPORT, TX US",,
"Pittsburgh, PA",T,100.0,"Pittsburgh, Pennsylvania",40.44216760000006,-79.99495729999995,USW00094823,"PITTSBURGH INTERNATIONAL AIRPORT, PA US",,
"San Antonio, TX",T,100.0,"San Antonio, Texas",29.42517120000008,-98.49461399999996,USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",,
"Gulf Shores, AL",T,100.0,"Gulf Shores, Alabama",30.272469000000058,-87.68742999999995,USW00013894,"MOBILE REGIONAL AIRPORT, AL US",,
"Dallas, TX",T,100.0,"Dallas, Texas",32.77797650000008,-96.79621479999997,USW00013960,"DALLAS FAA AIRPORT, TX US",,
"Savannah, GA",T,100.0,"Savannah, Georgia",32.080610200000024,-81.09009659999998,USW00003822,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",,
"Boca Raton, FL",T,100.0,"Boca Raton, Florida",26.350568000000067,-80.08991349999997,USW00012844,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",,
"Nashville, TN",T,100.0,"Nashville, Tennessee",36.166349300000036,-86.77905409999994,USW00013897,"NASHVILLE INTERNATIONAL AIRPORT, TN US",,
"Columbia, SC",T,100.0,"Columbia, South Carolina",34.00928600000003,-81.03709399999997,USW00013883,"COLUMBIA METROPOLITAN AIRPORT, SC US",,
"Akron, OH",T,100.0,"Akron, Ohio",41.084821000000034,-81.51560699999999,USW00014895,"AKRON CANTON AIRPORT, OH US",,
"Chattanooga, TN",T,100.0,"Chattanooga, Tennessee",35.04575600000004,-85.30828699999995,USW00013882,"CHATTANOOGA AIRPORT, TN US",,
"Reno, NV",T,100.0,"Reno, Nevada",39.52690300000006,-119.81328299999996,USW00023185,"RENO AIRPORT, NV US",,
"Sacramento, CA",T,100.0,"Sacramento, California",38.57693470000004,-121.49495229999997,USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",,
"Minneapolis, MN",T,100.0,"Minneapolis, Minnesota",44.97748590000003,-93.26436689999997,USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",,
"Oakland, CA",T,100.0,"Oakland, California",37.80482800000004,-122.27247999999997,USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",,
"Columbus, OH",T,100.0,"Columbus, Ohio",39.962762000000055,-82.99629099999999,USW00014821,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",,
"Charlotte, NC",T,100.0,"Charlotte, North Carolina",35.22378670000006,-80.84114129999995,USW00013881,"CHARLOTTE DOUGLAS AIRPORT, NC US",,
"Fort Wayne, IN",T,100.0,"Fort Wayne, Indiana",41.07747400000005,-85.13749499999994,USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",,
"Colorado Springs, CO",T,100.0,"Colorado Springs, Colorado",38.83522400000004,-104.81979799999999,USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",,
"Denver, CO",T,100.0,"Denver, Colorado",39.73845300000005,-104.98485299999999,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,
"Harlingen/San Benito, TX",M,100.0,"Harlingen-San Benito, Texas",26.262100000000032,-97.77368999999999,USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",,
"Guam, TT",T,85.8,Guam,13.443563908000044,144.77762780500007,GQW00041406,"GUAM INTERNATIONAL AIRPORT, GU GQ",,
"Albuquerque, NM",T,100.0,"Albuquerque, New Mexico",35.08424800000006,-106.64924099999996,USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",,
"Mobile, AL",T,100.0,"Mobile, Alabama",30.68894300000005,-88.04482199999995,USW00013894,"MOBILE REGIONAL AIRPORT, AL US",,
"Birmingham, AL",T,100.0,"Birmingham, Alabama",33.52285870000003,-86.80770519999999,USW00013876,"BIRMINGHAM AIRPORT, AL US",,
"Eagle, CO",T,100.0,"Eagle, Colorado",39.654251000000045,-106.82359699999995,USW00093009,"LEADVILLE LAKE CO AIRPORT, CO US",,
"Alexandria, LA",T,100.0,"Alexandria, Louisiana",31.29310010000006,-92.46328369999998,USW00013935,"ALEXANDRIA ESLER FIELD, LA US",,
"Cleveland, OH",T,100.0,"Cleveland, Ohio",41.50514140000007,-81.69145749999996,USW00014895,"AKRON CANTON AIRPORT, OH US",,
