year,county_name,yield_bu_acre
2006,DANE,172.0
2005,DANE,161.0
2024,DODGE,177.8
2023,DODGE,199.9
2022,DODGE,197.0
2021,DODGE,199.5
2020,DODGE,200.4
2019,DODGE,170.9
2018,DODGE,191.6
2017,DODGE,187.7
2016,DODGE,187.4
2015,DODGE,181.3
2014,DODGE,166.0
2013,DODGE,163.0
2012,DODGE,140.1
2011,DODGE,170.6
2010,DODGE,171.2
2009,DODGE,157.0
2008,DODGE,143.0
2007,DODGE,151.0
2006,DODGE,158.0
2005,DODGE,165.0
2024,GREEN,187.8
2023,GREEN,185.2
2022,GREEN,199.1
2021,GREEN,196.7
2020,GREEN,194.0
2019,GREEN,186.8
2017,GREEN,192.5
2016,GREEN,199.0
2015,GREEN,170.8
2014,GREEN,177.4
2013,GREEN,157.1
2012,GREEN,76.0
2011,GREEN,163.7
2010,GREEN,169.8
2009,GREEN,178.0
2008,GREEN,141.0
2007,GREEN,150.0
2006,GREEN,166.0
2005,GREEN,143.0
2024,JEFFERSON,169.3
2023,JEFFERSON,180.8
2022,JEFFERSON,190.4
2021,JEFFERSON,183.8
2020,JEFFERSON,172.8
2019,JEFFERSON,174.3
2017,JEFFERSON,173.4
2016,JEFFERSON,195.3
2015,JEFFERSON,170.1
2014,JEFFERSON,163.4
2013,JEFFERSON,164.6
2012,JEFFERSON,114.5
2011,JEFFERSON,157.8
2010,JEFFERSON,159.9
2009,JEFFERSON,159.0
2008,JEFFERSON,126.0
2007,JEFFERSON,158.0
2006,JEFFERSON,155.0
2005,JEFFERSON,168.0
2024,ROCK,186.4
2023,ROCK,187.2
2022,ROCK,204.8
2021,ROCK,194.4
2020,ROCK,193.4
2019,ROCK,198.1
2018,ROCK,184.2
2017,ROCK,194.8
2016,ROCK,201.6
2015,ROCK,177.1
2014,ROCK,184.1
2013,ROCK,168.4
2012,ROCK,101.7
2011,ROCK,160.4
2010,ROCK,173.8
2009,ROCK,165.0
2008,ROCK,146.0
2007,ROCK,156.0
2006,ROCK,159.0
2005,ROCK,148.0
2019,OTHER (COMBINED) COUNTIES,152.0
2018,OTHER (COMBINED) COUNTIES,170.6
2017,OTHER (COMBINED) COUNTIES,180.2
2015,OTHER (COMBINED) COUNTIES,167.9
2013,OTHER (COMBINED) COUNTIES,139.4
2011,OTHER (COMBINED) COUNTIES,151.6
2008,OTHER (COMBINED) COUNTIES,134.0
2024,KENOSHA,182.3
2023,KENOSHA,182.5
2022,KENOSHA,180.7
2021,KENOSHA,175.1
2020,KENOSHA,177.7
2017,KENOSHA,168.1
2016,KENOSHA,157.6
2015,KENOSHA,179.5
2014,KENOSHA,174.9
2013,KENOSHA,157.7
2012,KENOSHA,127.3
2011,KENOSHA,163.1
2010,KENOSHA,172.1
2009,KENOSHA,152.0
2008,KENOSHA,141.0
2007,KENOSHA,168.0
2006,KENOSHA,151.0
2005,KENOSHA,98.0
2023,MILWAUKEE,197.3
2022,MILWAUKEE,189.1
2021,MILWAUKEE,185.7
2020,MILWAUKEE,191.1
2016,MILWAUKEE,145.0
2014,MILWAUKEE,126.4
2012,MILWAUKEE,125.0
2010,MILWAUKEE,109.4
2009,MILWAUKEE,127.0
2007,MILWAUKEE,122.0
2006,MILWAUKEE,150.0
2005,MILWAUKEE,121.0
2024,OZAUKEE,154.4
2023,OZAUKEE,182.3
2022,OZAUKEE,182.0
2021,OZAUKEE,187.7
2020,OZAUKEE,151.7
2019,OZAUKEE,154.6
2016,OZAUKEE,174.7
2014,OZAUKEE,143.3
2012,OZAUKEE,132.5
2010,OZAUKEE,156.5
2009,OZAUKEE,139.0
2007,OZAUKEE,152.0
2006,OZAUKEE,146.0
2005,OZAUKEE,153.0
2024,RACINE,189.6
2023,RACINE,191.5
2022,RACINE,179.3
2021,RACINE,181.2
2020,RACINE,180.7
2019,RACINE,161.0
2018,RACINE,172.8
2017,RACINE,175.6
2016,RACINE,184.6
2015,RACINE,180.9
2014,RACINE,172.7
2013,RACINE,162.8
2012,RACINE,132.2
2011,RACINE,151.3
2010,RACINE,158.9
2009,RACINE,155.0
2008,RACINE,132.0
2007,RACINE,163.0
2006,RACINE,164.0
2005,RACINE,101.0
2024,WALWORTH,197.7
2023,WALWORTH,192.4
2022,WALWORTH,197.1
2021,WALWORTH,178.7
2020,WALWORTH,190.5
2019,WALWORTH,174.1
2018,WALWORTH,194.1
2017,WALWORTH,175.8
2016,WALWORTH,182.0
2015,WALWORTH,180.8
2014,WALWORTH,187.4
2013,WALWORTH,161.3
2012,WALWORTH,102.0
2011,WALWORTH,163.3
2010,WALWORTH,171.0
2009,WALWORTH,157.0
2008,WALWORTH,139.0
2007,WALWORTH,164.0
2006,WALWORTH,150.0
2005,WALWORTH,131.0
2024,WASHINGTON,157.4
2023,WASHINGTON,164.4
2022,WASHINGTON,175.3
2021,WASHINGTON,179.8
2020,WASHINGTON,171.0
2019,WASHINGTON,166.7
2018,WASHINGTON,165.9
2017,WASHINGTON,177.8
2016,WASHINGTON,178.8
2015,WASHINGTON,169.4
2014,WASHINGTON,150.6
2013,WASHINGTON,132.9
2012,WASHINGTON,93.7
2011,WASHINGTON,157.4
2010,WASHINGTON,157.5
2009,WASHINGTON,141.0
2008,WASHINGTON,124.0
2007,WASHINGTON,139.0
2006,WASHINGTON,151.0
2005,WASHINGTON,145.0
2024,WAUKESHA,179.4
2023,WAUKESHA,172.4
2022,WAUKESHA,181.1
2021,WAUKESHA,184.4
2020,WAUKESHA,166.2
2019,WAUKESHA,169.3
2018,WAUKESHA,182.0
2017,WAUKESHA,181.5
2016,WAUKESHA,180.0
2015,WAUKESHA,165.8
2014,WAUKESHA,169.9
2013,WAUKESHA,153.3
2012,WAUKESHA,96.7
2011,WAUKESHA,147.6
2010,WAUKESHA,152.4
2009,WAUKESHA,135.0
2008,WAUKESHA,119.0
2007,WAUKESHA,143.0
2006,WAUKESHA,156.0
2005,WAUKESHA,141.0
2024,OTHER COUNTIES,167.3
2023,OTHER COUNTIES,162.0
2022,OTHER COUNTIES,114.3
2021,OTHER COUNTIES,136.7
2020,OTHER COUNTIES,120.2
2019,OTHER (COMBINED) COUNTIES,157.5
2018,OTHER (COMBINED) COUNTIES,117.5
2016,OTHER (COMBINED) COUNTIES,151.8
2015,OTHER (COMBINED) COUNTIES,154.4
2014,OTHER (COMBINED) COUNTIES,182.1
2013,OTHER (COMBINED) COUNTIES,113.0
2012,OTHER (COMBINED) COUNTIES,47.6
2011,OTHER (COMBINED) COUNTIES,134.8
2023,ANDREW,175.7
2020,ANDREW,173.6
2017,ANDREW,161.2
2016,ANDREW,152.0
2014,ANDREW,171.9
2013,ANDREW,133.2
2012,ANDREW,71.0
2010,ANDREW,111.2
2009,ANDREW,144.0
2008,ANDREW,135.0
2007,ANDREW,126.0
2006,ANDREW,148.0
2005,ANDREW,135.3
2024,ATCHISON,205.9
2022,ATCHISON,198.1
2021,ATCHISON,211.0
2020,ATCHISON,205.2
2018,ATCHISON,170.2
2017,ATCHISON,184.1
2016,ATCHISON,169.3
2014,ATCHISON,192.2
2013,ATCHISON,165.0
2012,ATCHISON,106.0
2011,ATCHISON,149.5
2010,ATCHISON,149.4
2009,ATCHISON,185.0
2008,ATCHISON,152.0
2007,ATCHISON,146.0
2006,ATCHISON,155.0
2005,ATCHISON,159.5
2024,BUCHANAN,189.4
2023,BUCHANAN,175.2
2022,BUCHANAN,182.0
2021,BUCHANAN,171.3
2020,BUCHANAN,181.8
2017,BUCHANAN,178.7
2016,BUCHANAN,158.6
2015,BUCHANAN,141.2
2013,BUCHANAN,148.9
2012,BUCHANAN,112.3
2011,BUCHANAN,134.4
2010,BUCHANAN,127.8
2009,BUCHANAN,154.0
2008,BUCHANAN,158.0
2007,BUCHANAN,146.0
2006,BUCHANAN,140.0
2005,BUCHANAN,131.7
2024,CALDWELL,170.1
2023,CALDWELL,148.7
2022,CALDWELL,162.6
2021,CALDWELL,134.7
2020,CALDWELL,164.0
2017,CALDWELL,162.5
2016,CALDWELL,179.6
2015,CALDWELL,132.8
2014,CALDWELL,184.7
2013,CALDWELL,90.0
2012,CALDWELL,41.1
2011,CALDWELL,113.5
2010,CALDWELL,106.5
2009,CALDWELL,138.0
2008,CALDWELL,136.0
2007,CALDWELL,109.0
2006,CALDWELL,104.0
2005,CALDWELL,75.0
2024,CLAY,194.9
2023,CLAY,190.6
2021,CLAY,154.2
2020,CLAY,187.1
2017,CLAY,171.4
2016,CLAY,165.0
2015,CLAY,122.5
2014,CLAY,182.8
2013,CLAY,141.1
2012,CLAY,86.7
2011,CLAY,130.6
2010,CLAY,134.4
2009,CLAY,169.0
2008,CLAY,158.0
2007,CLAY,139.0
2006,CLAY,109.0
2005,CLAY,122.4
2024,CLINTON,182.8
2023,CLINTON,189.1
2022,CLINTON,191.0
2021,CLINTON,169.2
2020,CLINTON,182.7
2019,CLINTON,139.2
2018,CLINTON,107.5
2017,CLINTON,177.5
2016,CLINTON,156.7
2015,CLINTON,127.1
2014,CLINTON,183.6
2013,CLINTON,133.4
2012,CLINTON,57.6
2011,CLINTON,137.4
2010,CLINTON,119.6
2009,CLINTON,168.0
2008,CLINTON,157.0
2007,CLINTON,130.0
2006,CLINTON,133.0
2005,CLINTON,103.4
2024,DAVIESS,182.4
2023,DAVIESS,146.0
2021,DAVIESS,142.0
2020,DAVIESS,161.1
2018,DAVIESS,93.2
2017,DAVIESS,142.8
2016,DAVIESS,161.0
2014,DAVIESS,176.9
2011,DAVIESS,123.6
2010,DAVIESS,104.5
2009,DAVIESS,142.0
2008,DAVIESS,123.0
2007,DAVIESS,116.0
2006,DAVIESS,112.0
2005,DAVIESS,94.0
2023,DE KALB,190.4
2022,DE KALB,154.8
2021,DE KALB,157.2
2020,DE KALB,173.2
2019,DE KALB,126.0
2018,DE KALB,95.6
2017,DE KALB,159.1
2013,DE KALB,101.4
2012,DE KALB,56.4
2011,DE KALB,124.7
2010,DE KALB,113.6
2009,DE KALB,135.0
2008,DE KALB,127.0
2007,DE KALB,117.0
2006,DE KALB,140.0
2005,DE KALB,105.8
2023,GENTRY,160.0
2022,GENTRY,167.3
2020,GENTRY,159.6
2019,GENTRY,126.9
2017,GENTRY,150.0
2011,GENTRY,128.7
2010,GENTRY,93.8
2009,GENTRY,138.0
2008,GENTRY,109.0
2007,GENTRY,130.0
2006,GENTRY,139.0
2005,GENTRY,140.7
2024,HARRISON,159.3
2021,HARRISON,155.9
2020,HARRISON,164.7
2017,HARRISON,147.2
2012,HARRISON,43.8
2011,HARRISON,108.0
2010,HARRISON,100.2
2009,HARRISON,123.0
2008,HARRISON,120.0
2007,HARRISON,134.0
2006,HARRISON,130.0
2005,HARRISON,127.3
2023,HOLT,219.0
2020,HOLT,203.7
2017,HOLT,203.2
2016,HOLT,170.7
2014,HOLT,201.0
2013,HOLT,182.3
2012,HOLT,129.2
2011,HOLT,149.5
2010,HOLT,149.4
2009,HOLT,174.0
2008,HOLT,150.0
2007,HOLT,149.0
2006,HOLT,154.0
2005,HOLT,146.0
2018,NODAWAY,124.5
2017,NODAWAY,180.1
2016,NODAWAY,167.0
2015,NODAWAY,137.5
2014,NODAWAY,194.3
2013,NODAWAY,129.8
2012,NODAWAY,88.1
2011,NODAWAY,122.1
2010,NODAWAY,121.3
2009,NODAWAY,148.0
2008,NODAWAY,123.0
2007,NODAWAY,124.0
2006,NODAWAY,140.0
2005,NODAWAY,142.8
2024,PLATTE,175.4
2023,PLATTE,166.7
2022,PLATTE,177.5
2021,PLATTE,178.8
2020,PLATTE,185.9
2019,PLATTE,146.6
2018,PLATTE,159.0
2017,PLATTE,172.0
2016,PLATTE,160.1
2015,PLATTE,135.7
2012,PLATTE,83.7
2010,PLATTE,133.5
2009,PLATTE,157.0
2008,PLATTE,149.0
2007,PLATTE,150.0
2006,PLATTE,127.0
2005,PLATTE,135.3
2023,RAY,173.0
2022,RAY,173.9
2021,RAY,151.5
2020,RAY,185.9
2019,RAY,150.0
2017,RAY,179.6
2014,RAY,191.3
2013,RAY,141.1
2012,RAY,87.7
2011,RAY,128.8
2010,RAY,120.4
2009,RAY,152.0
2008,RAY,152.0
2007,RAY,141.0
2006,RAY,140.0
2005,RAY,147.2
2024,WORTH,186.8
2023,WORTH,170.4
2022,WORTH,160.3
2021,WORTH,173.6
2020,WORTH,163.4
2018,WORTH,105.1
2017,WORTH,144.4
2016,WORTH,159.3
2015,WORTH,126.2
2014,WORTH,190.4
2013,WORTH,118.5
2012,WORTH,60.4
2011,WORTH,112.5
2010,WORTH,93.3
2009,WORTH,131.0
2008,WORTH,108.0
2007,WORTH,128.0
2006,WORTH,130.0
2005,WORTH,143.5
2019,OTHER (COMBINED) COUNTIES,136.8
2018,OTHER (COMBINED) COUNTIES,125.5
2017,OTHER (COMBINED) COUNTIES,160.1
2016,OTHER (COMBINED) COUNTIES,172.1
2015,OTHER (COMBINED) COUNTIES,145.6
2014,OTHER (COMBINED) COUNTIES,181.3
2013,OTHER (COMBINED) COUNTIES,109.5
2012,OTHER (COMBINED) COUNTIES,46.1
2011,OTHER (COMBINED) COUNTIES,98.9
2022,ADAIR,168.1
2021,ADAIR,169.5
2020,ADAIR,176.2
2019,ADAIR,134.0
2016,ADAIR,170.1
2015,ADAIR,128.5
2014,ADAIR,179.5
2013,ADAIR,126.2
2012,ADAIR,43.6
2011,ADAIR,121.8
2010,ADAIR,85.6
2009,ADAIR,138.0
2008,ADAIR,118.0
2007,ADAIR,132.0
2006,ADAIR,153.0
2005,ADAIR,90.6
2024,CARROLL,195.0
2023,CARROLL,154.8
2022,CARROLL,178.5
2020,CARROLL,175.7
2019,CARROLL,145.6
2017,CARROLL,179.1
2016,CARROLL,161.4
2015,CARROLL,132.7
2013,CARROLL,141.5
2012,CARROLL,84.4
2011,CARROLL,132.6
2010,CARROLL,112.5
2009,CARROLL,146.0
2008,CARROLL,147.0
2007,CARROLL,143.0
2006,CARROLL,153.0
2005,CARROLL,137.3
2020,CHARITON,173.9
2017,CHARITON,178.8
2015,CHARITON,139.5
2014,CHARITON,187.8
2013,CHARITON,114.1
2012,CHARITON,57.2
2011,CHARITON,121.3
2010,CHARITON,108.7
2009,CHARITON,146.0
2008,CHARITON,143.0
2007,CHARITON,146.0
2006,CHARITON,151.0
2005,CHARITON,116.5
2024,GRUNDY,162.4
2023,GRUNDY,156.1
2022,GRUNDY,177.8
2021,GRUNDY,128.9
2020,GRUNDY,158.5
2018,GRUNDY,110.4
2012,GRUNDY,60.5
2011,GRUNDY,131.6
2010,GRUNDY,109.1
2009,GRUNDY,137.0
2008,GRUNDY,117.0
2007,GRUNDY,119.0
2006,GRUNDY,138.0
2005,GRUNDY,110.1
2023,LINN,157.2
2022,LINN,165.8
2021,LINN,126.9
2020,LINN,168.5
2016,LINN,160.2
2013,LINN,101.5
2012,LINN,51.3
2011,LINN,116.4
2010,LINN,107.2
2009,LINN,146.0
2008,LINN,139.0
2007,LINN,132.0
2006,LINN,149.0
2005,LINN,88.6
2024,LIVINGSTON,182.3
2023,LIVINGSTON,142.7
2022,LIVINGSTON,198.4
2020,LIVINGSTON,171.7
2019,LIVINGSTON,126.3
2017,LIVINGSTON,177.9
2016,LIVINGSTON,167.5
2015,LIVINGSTON,140.3
2013,LIVINGSTON,99.8
2012,LIVINGSTON,50.1
2011,LIVINGSTON,121.2
2010,LIVINGSTON,105.4
2009,LIVINGSTON,145.0
2008,LIVINGSTON,140.0
2007,LIVINGSTON,128.0
2006,LIVINGSTON,144.0
2005,LIVINGSTON,96.5
2024,MACON,193.2
2023,MACON,136.8
2020,MACON,163.1
2013,MACON,109.7
2012,MACON,45.4
2010,MACON,96.7
2009,MACON,161.0
2008,MACON,142.0
2007,MACON,155.0
2006,MACON,150.0
2005,MACON,86.8
2020,MERCER,152.9
2017,MERCER,149.5
2011,MERCER,119.1
2010,MERCER,102.4
2009,MERCER,125.0
2008,MERCER,114.0
2007,MERCER,131.0
2006,MERCER,148.0
2005,MERCER,108.2
2024,PUTNAM,175.9
2023,PUTNAM,144.0
2015,PUTNAM,141.4
2012,PUTNAM,65.6
2011,PUTNAM,116.0
2010,PUTNAM,93.0
2009,PUTNAM,149.0
2008,PUTNAM,90.0
2007,PUTNAM,135.0
2006,PUTNAM,138.0
2005,PUTNAM,117.0
2024,RANDOLPH,200.7
2023,RANDOLPH,105.2
2022,RANDOLPH,175.2
2021,RANDOLPH,151.7
2020,RANDOLPH,153.4
2019,RANDOLPH,158.0
2018,RANDOLPH,126.3
2017,RANDOLPH,164.8
2016,RANDOLPH,176.9
2015,RANDOLPH,148.5
2014,RANDOLPH,171.9
2013,RANDOLPH,118.2
2012,RANDOLPH,39.5
2010,RANDOLPH,96.8
2009,RANDOLPH,144.0
2008,RANDOLPH,147.0
2007,RANDOLPH,125.0
2006,RANDOLPH,126.0
2005,RANDOLPH,63.6
2022,SCHUYLER,158.1
2011,SCHUYLER,111.6
2010,SCHUYLER,74.7
2009,SCHUYLER,122.0
2008,SCHUYLER,106.0
2007,SCHUYLER,124.0
2006,SCHUYLER,132.0
2005,SCHUYLER,85.4
2024,SULLIVAN,166.7
2023,SULLIVAN,147.2
2022,SULLIVAN,159.9
2020,SULLIVAN,150.2
2019,SULLIVAN,123.5
2015,SULLIVAN,120.9
2014,SULLIVAN,162.7
2013,SULLIVAN,95.5
2012,SULLIVAN,45.9
2011,SULLIVAN,118.1
2010,SULLIVAN,91.8
2009,SULLIVAN,122.0
2008,SULLIVAN,104.0
2007,SULLIVAN,114.0
2006,SULLIVAN,137.0
2005,SULLIVAN,85.9
2019,OTHER (COMBINED) COUNTIES,146.0
2018,OTHER (COMBINED) COUNTIES,157.7
2017,OTHER (COMBINED) COUNTIES,153.4
2016,OTHER (COMBINED) COUNTIES,165.2
2015,OTHER (COMBINED) COUNTIES,134.2
2014,OTHER (COMBINED) COUNTIES,196.8
2013,OTHER (COMBINED) COUNTIES,118.3
2011,OTHER (COMBINED) COUNTIES,103.8
2024,AUDRAIN,195.6
2023,AUDRAIN,115.3
2022,AUDRAIN,166.2
2020,AUDRAIN,176.1
2019,AUDRAIN,168.8
2018,AUDRAIN,131.3
2017,AUDRAIN,178.9
2016,AUDRAIN,171.8
2015,AUDRAIN,109.4
2014,AUDRAIN,185.5
2013,AUDRAIN,124.3
2012,AUDRAIN,33.4
2011,AUDRAIN,105.2
2010,AUDRAIN,122.3
2009,AUDRAIN,146.0
2008,AUDRAIN,144.0
2007,AUDRAIN,123.0
2006,AUDRAIN,134.0
2005,AUDRAIN,55.5
2023,CLARK,166.6
2020,CLARK,173.5
2012,CLARK,68.6
2011,CLARK,100.6
2010,CLARK,82.9
2009,CLARK,166.0
2008,CLARK,142.0
2007,CLARK,136.0
2006,CLARK,138.0
2005,CLARK,105.6
2023,KNOX,130.9
2022,KNOX,171.3
2020,KNOX,167.8
2018,KNOX,125.6
2017,KNOX,165.6
2016,KNOX,166.4
2014,KNOX,194.5
2012,KNOX,40.6
2010,KNOX,98.0
2009,KNOX,156.0
2008,KNOX,136.0
2007,KNOX,149.0
2006,KNOX,148.0
2005,KNOX,60.9
2024,LEWIS,181.4
2023,LEWIS,147.7
2022,LEWIS,155.0
2020,LEWIS,167.1
2018,LEWIS,117.0
2017,LEWIS,158.7
2016,LEWIS,163.6
2015,LEWIS,118.5
2014,LEWIS,183.0
2013,LEWIS,104.1
2012,LEWIS,41.0
2011,LEWIS,92.7
2010,LEWIS,95.1
2009,LEWIS,141.0
2008,LEWIS,133.0
2007,LEWIS,130.0
2006,LEWIS,126.0
2005,LEWIS,71.6
2024,MARION,186.5
2023,MARION,124.9
2022,MARION,174.8
2021,MARION,153.0
2020,MARION,169.8
2019,MARION,164.9
2017,MARION,160.4
2016,MARION,188.4
2014,MARION,181.4
2012,MARION,66.7
2011,MARION,115.3
2010,MARION,115.1
2009,MARION,164.0
2008,MARION,142.0
2007,MARION,151.0
2006,MARION,145.0
2005,MARION,63.9
2024,MONROE,177.0
2023,MONROE,82.0
2022,MONROE,150.4
2021,MONROE,148.4
2020,MONROE,164.6
2018,MONROE,124.8
2017,MONROE,144.3
2016,MONROE,164.0
2015,MONROE,140.5
2014,MONROE,187.2
2013,MONROE,123.0
2012,MONROE,22.3
2011,MONROE,91.7
2010,MONROE,102.5
2009,MONROE,137.0
2008,MONROE,127.0
2007,MONROE,131.0
2006,MONROE,131.0
2005,MONROE,56.0
2024,PIKE,160.0
2022,PIKE,151.9
2020,PIKE,165.3
2018,PIKE,139.6
2017,PIKE,171.4
2016,PIKE,163.0
2015,PIKE,96.3
2014,PIKE,192.9
2013,PIKE,157.1
2012,PIKE,43.0
2011,PIKE,112.7
2010,PIKE,131.0
2009,PIKE,151.0
2008,PIKE,149.0
2007,PIKE,112.0
2006,PIKE,132.0
2005,PIKE,70.3
2024,RALLS,198.2
2023,RALLS,97.2
2022,RALLS,171.0
2021,RALLS,147.5
2020,RALLS,167.5
2019,RALLS,157.2
2018,RALLS,148.7
2017,RALLS,160.1
2016,RALLS,174.1
2015,RALLS,111.4
2013,RALLS,148.2
2012,RALLS,40.7
2011,RALLS,106.7
2010,RALLS,121.2
2009,RALLS,148.0
2008,RALLS,143.0
2007,RALLS,136.0
2006,RALLS,135.0
2005,RALLS,50.2
2024,SCOTLAND,191.6
2023,SCOTLAND,167.6
2022,SCOTLAND,156.2
2020,SCOTLAND,153.5
2017,SCOTLAND,147.5
2014,SCOTLAND,179.6
2013,SCOTLAND,119.1
2012,SCOTLAND,60.6
2010,SCOTLAND,81.8
2009,SCOTLAND,149.0
2008,SCOTLAND,125.0
2007,SCOTLAND,136.0
2006,SCOTLAND,149.0
2005,SCOTLAND,80.8
2024,SHELBY,195.5
2023,SHELBY,105.4
2022,SHELBY,184.5
2021,SHELBY,154.9
2020,SHELBY,172.3
2016,SHELBY,175.0
2014,SHELBY,184.0
2013,SHELBY,97.0
2012,SHELBY,35.5
2011,SHELBY,107.6
2010,SHELBY,92.0
2009,SHELBY,142.0
2008,SHELBY,133.0
2007,SHELBY,142.0
2006,SHELBY,141.0
2005,SHELBY,64.5
2019,OTHER (COMBINED) COUNTIES,145.0
2018,OTHER (COMBINED) COUNTIES,132.9
2017,OTHER (COMBINED) COUNTIES,138.6
2016,OTHER (COMBINED) COUNTIES,154.5
2015,OTHER (COMBINED) COUNTIES,132.4
2014,OTHER (COMBINED) COUNTIES,185.7
2013,OTHER (COMBINED) COUNTIES,82.6
2012,OTHER (COMBINED) COUNTIES,51.5
2011,OTHER (COMBINED) COUNTIES,44.1
2009,OTHER (COMBINED) COUNTIES,143.0
2008,OTHER (COMBINED) COUNTIES,114.0
2023,BATES,143.6
2022,BATES,123.0
2021,BATES,153.1
2020,BATES,154.6
2019,BATES,160.4
2018,BATES,159.0
2017,BATES,167.1
2010,BATES,119.0
2009,BATES,147.0
2008,BATES,120.0
2007,BATES,134.0
2006,BATES,118.0
2005,BATES,108.5
2024,CASS,160.9
2022,CASS,111.8
2021,CASS,109.3
2020,CASS,152.7
2017,CASS,160.6
2016,CASS,159.8
2015,CASS,140.7
2014,CASS,179.1
2013,CASS,107.4
2012,CASS,48.5
2011,CASS,65.2
2010,CASS,109.8
2009,CASS,148.0
2008,CASS,124.0
2007,CASS,127.0
2006,CASS,121.0
2005,CASS,112.7
2024,CEDAR,166.1
2021,CEDAR,137.5
2020,CEDAR,140.0
2019,CEDAR,131.5
2018,CEDAR,109.4
2017,CEDAR,171.4
2015,CEDAR,98.2
2013,CEDAR,77.2
2010,CEDAR,126.6
2007,CEDAR,124.0
2006,CEDAR,100.0
2005,CEDAR,84.5
2023,HENRY,123.6
2022,HENRY,128.1
2021,HENRY,111.4
2020,HENRY,146.1
2018,HENRY,159.6
2017,HENRY,161.9
2016,HENRY,148.4
2014,HENRY,162.1
2013,HENRY,84.6
2012,HENRY,34.5
2011,HENRY,41.8
2010,HENRY,98.6
2009,HENRY,126.0
2008,HENRY,90.0
2007,HENRY,106.0
2006,HENRY,84.0
2005,HENRY,96.4
2024,JACKSON,154.2
2023,JACKSON,186.7
2022,JACKSON,135.6
2020,JACKSON,174.6
2019,JACKSON,158.0
2018,JACKSON,146.2
2017,JACKSON,192.6
2016,JACKSON,161.8
2013,JACKSON,142.3
2012,JACKSON,75.2
2011,JACKSON,114.5
2010,JACKSON,134.1
2009,JACKSON,163.0
2008,JACKSON,139.0
2007,JACKSON,137.0
2006,JACKSON,113.0
2005,JACKSON,134.4
2024,JOHNSON,192.4
2023,JOHNSON,129.3
2022,JOHNSON,117.1
2021,JOHNSON,128.8
2020,JOHNSON,150.8
2018,JOHNSON,170.3
2017,JOHNSON,173.2
2016,JOHNSON,160.3
2015,JOHNSON,138.2
2014,JOHNSON,185.9
2013,JOHNSON,124.6
2012,JOHNSON,56.6
2011,JOHNSON,91.3
2010,JOHNSON,106.2
2009,JOHNSON,141.0
2008,JOHNSON,134.0
2007,JOHNSON,130.0
2006,JOHNSON,104.0
2005,JOHNSON,90.0
2024,LAFAYETTE,212.2
2023,LAFAYETTE,176.7
2022,LAFAYETTE,163.2
2020,LAFAYETTE,197.9
2019,LAFAYETTE,185.1
2018,LAFAYETTE,173.3
2017,LAFAYETTE,205.6
2016,LAFAYETTE,186.7
2015,LAFAYETTE,156.4
2014,LAFAYETTE,209.7
2013,LAFAYETTE,161.5
2012,LAFAYETTE,80.1
2011,LAFAYETTE,137.5
2010,LAFAYETTE,135.6
2009,LAFAYETTE,167.0
2008,LAFAYETTE,167.0
2007,LAFAYETTE,152.0
2006,LAFAYETTE,128.0
2005,LAFAYETTE,131.0
2024,ST CLAIR,154.2
2023,ST CLAIR,79.8
2022,ST CLAIR,85.0
2021,ST CLAIR,137.1
2020,ST CLAIR,117.0
2019,ST CLAIR,136.8
2014,ST CLAIR,157.4
2012,ST CLAIR,45.0
2011,ST CLAIR,35.8
2010,ST CLAIR,125.6
2007,ST CLAIR,115.0
2006,ST CLAIR,109.0
2005,ST CLAIR,85.9
2023,VERNON,104.7
2022,VERNON,80.3
2020,VERNON,109.6
2016,VERNON,147.5
2015,VERNON,122.5
2013,VERNON,93.5
2012,VERNON,67.7
2010,VERNON,122.9
2009,VERNON,135.0
2008,VERNON,119.0
2007,VERNON,130.0
2006,VERNON,120.0
2005,VERNON,124.2
2019,OTHER (COMBINED) COUNTIES,161.7
2018,OTHER (COMBINED) COUNTIES,141.1
2017,OTHER (COMBINED) COUNTIES,174.8
2016,OTHER (COMBINED) COUNTIES,160.4
2015,OTHER (COMBINED) COUNTIES,129.6
2014,OTHER (COMBINED) COUNTIES,189.4
2013,OTHER (COMBINED) COUNTIES,136.1
2012,OTHER (COMBINED) COUNTIES,38.6
2011,OTHER (COMBINED) COUNTIES,75.3
2010,OTHER (COMBINED) COUNTIES,119.5
2009,OTHER (COMBINED) COUNTIES,151.0
2008,OTHER (COMBINED) COUNTIES,137.0
2007,OTHER (COMBINED) COUNTIES,129.0
2006,OTHER (COMBINED) COUNTIES,90.0
2005,OTHER (COMBINED) COUNTIES,48.1
2022,BENTON,153.4
2020,BENTON,149.6
2018,BENTON,170.1
2016,BENTON,166.8
2013,BENTON,111.0
2012,BENTON,43.4
2011,BENTON,83.5
2010,BENTON,123.9
2009,BENTON,152.0
2008,BENTON,133.0
2007,BENTON,123.0
2006,BENTON,81.0
2005,BENTON,61.3
2024,BOONE,193.4
2023,BOONE,122.8
2021,BOONE,136.3
2020,BOONE,157.5
2019,BOONE,168.8
2017,BOONE,170.4
2015,BOONE,125.0
2014,BOONE,187.8
2013,BOONE,131.9
2012,BOONE,41.1
2011,BOONE,94.2
2010,BOONE,115.0
2009,BOONE,141.0
2008,BOONE,130.0
2007,BOONE,123.0
2006,BOONE,140.0
2005,BOONE,68.3
2024,CALLAWAY,189.9
2023,CALLAWAY,141.4
2022,CALLAWAY,157.5
