PORT NAME,STATE,DOMESTIC,,,,,FOREIGN,,,Grand
Dutch Harbor,AK,"14,923","9,241","11,264","9,670","45,097",0,0,0,"26,186"
Vancouver,WA,0,"21,208","22,890",0,"44,098",96,0,96,"22,986"
"Columbia River, Dalles-McNary",OR,"22,888",0,0,"21,190","44,078",0,0,0,"22,888"
"Portland Harbor, ME",ME,0,0,0,0,0,"14,248",6,"14,254","14,254"
Kodiak,AK,"7,746",849,"5,226","4,120","17,941",0,441,441,"13,413"
Sitka,AK,"9,160","1,989","4,129","4,754","20,032",0,0,0,"13,289"
Chatham Strait,AK,"10,890",559,"1,718","8,439","21,605",0,0,0,"12,608"
Lynn Canal,AK,"5,939","2,465","6,433","10,280","25,117",0,0,0,"12,373"
Skagway,AK,"8,637","4,543","2,851","3,395","19,426",0,0,0,"11,488"
Haines,AK,"7,926",663,"3,233","2,361","14,182",0,0,0,"11,159"
Other Alaskan Ports/Wtwys,AK,"5,324","4,272","4,147","5,738","19,482",305,0,305,"9,777"
Naknek River,AK,"4,766","4,040","3,039","2,243","14,088",0,0,0,"7,805"
Prince of Wales Island,AK,"5,216",602,"1,442","2,926","10,186",0,0,0,"6,657"
Everett,WA,20,0,62,0,82,"5,338",0,"5,338","5,420"
Akutan Island,AK,"1,567","2,950","3,852",556,"8,925",0,0,0,"5,419"
Wrangell,AK,"2,044",277,"2,803","1,515","6,638",0,0,0,"4,847"
Kake,AK,636,25,"3,583","1,087","5,332",0,0,0,"4,220"
Cordova,AK,"1,696","1,447","2,164","1,005","6,311",0,0,0,"3,860"
Nome,AK,"2,612",764,992,577,"4,945",0,0,0,"3,604"
Newport News,VA,0,0,0,0,0,"2,092","1,506","3,598","3,598"
Bethel,AK,"2,817",484,770,858,"4,929",0,0,0,"3,587"
Fernandina Beach,FL,0,0,0,0,0,51,"3,457","3,507","3,507"
Saipan,MP,"3,248",181,85,"3,822","7,336",0,0,0,"3,334"
Other Hawaiian Islands Ports,HI,"2,471",460,737,"1,392","5,060",11,0,11,"3,219"
Yakutat,AK,"2,374",259,531,"1,079","4,243",0,0,0,"2,905"
Other Pacific Ports/Wtwys,,396,6,18,351,771,579,"1,048","1,627","2,041"
Great Lakes Ports,,0,0,0,0,0,951,2,953,953
Other Gulf Coast Ports/Wtwys,,0,0,0,0,0,718,46,764,764
Other Atlantic Ports/Wtwys,,0,0,0,0,0,283,210,493,493
Pacific Islands excl. Hawaii,OT,26,12,0,0,38,0,0,0,26
"Other Columbia Riv (OR,WA,ID)",OR,2,0,0,18,20,0,0,0,2
Total,,"2,108,303","761,311","2,108,303","761,311","5,739,228","25,520,726","11,456,383","36,977,109","41,193,715"
,,,,,,,,,,
