PORT NAME,STATE,DOMESTIC,,,,,FOREIGN,,,Grand
,,InBound ,,OutBound ,,Total,InBound ,OutBound ,Total,Total
,,Loaded,Empty,Loaded,Empty,,Loaded,Loaded,,Loaded
Los Angeles,CA,"3,407",0,"43,226",0,"46,633","5,027,888","1,376,075","6,403,963","6,450,596"
Long Beach,CA,"43,923","36,696","264,478","1,969","347,066","4,228,028","1,155,381","5,383,409","5,691,810"
New York (NY and NJ),NY,0,0,0,0,0,"4,185,679","1,253,380","5,439,059","5,439,059"
Savannah,GA,0,0,0,0,0,"2,364,792","1,336,505","3,701,297","3,701,297"
Houston,TX,0,0,0,0,0,"1,342,994","1,184,512","2,527,506","2,527,506"
Port of Virginia,VA,150,0,301,0,451,"1,319,520","852,312","2,171,833","2,172,284"
Oakland,CA,"20,211","59,175","85,147","1,158","165,691","1,014,879","795,769","1,810,647","1,916,005"
Charleston,SC,0,0,0,0,0,"1,084,467","736,681","1,821,148","1,821,148"
Tacoma,WA,"95,319","134,204","307,931","1,230","538,684","709,622","413,819","1,123,441","1,526,691"
Seattle,WA,"53,039","127,024","121,951","15,263","317,277","618,342","357,816","976,158","1,151,148"
San Juan Harbor,PR,"495,730","4,399","157,418","166,263","823,810","206,327","42,831","249,158","902,306"
Jacksonville,FL,"109,374","143,942","446,831","3,925","704,071","224,938","100,938","325,876","882,081"
Miami,FL,0,0,0,0,0,"504,249","295,371","799,620","799,620"
Honolulu,HI,"471,539","133,035","280,135","146,886","1,031,596","19,268","14,071","33,339","785,013"
Baltimore,MD,301,0,158,0,459,"524,197","205,329","729,526","729,985"
Port Everglades,FL,0,0,0,0,0,"302,291","321,385","623,677","623,677"
Philadelphia,PA,158,0,150,0,308,"435,358","95,273","530,632","530,940"
New Orleans,LA,0,0,0,0,0,"142,898","277,447","420,345","420,345"
Anchorage,AK,"289,923","1,455","92,081","121,343","504,803",105,0,105,"382,110"
Mobile,AL,0,0,0,0,0,"221,338","132,666","354,005","354,005"
Wilmington,NC,0,0,0,0,0,"126,586","104,867","231,452","231,452"
Wilmington,DE,0,0,0,0,0,"196,269","18,188","214,457","214,457"
Boston,MA,0,0,0,0,0,"143,510","69,453","212,963","212,963"
South Jersey Port District,NJ,"48,045","22,322","48,899",474,"119,739","62,593","1,525","64,118","161,061"
Gulfport,MS,0,0,0,0,0,"79,059","58,478","137,537","137,537"
Palm Beach,FL,0,0,0,0,0,"21,536","98,146","119,682","119,682"
Port Hueneme,CA,0,0,0,0,0,"88,143","12,110","100,253","100,253"
Tampa,FL,0,0,0,0,0,"76,729","10,256","86,985","86,985"
Juneau,AK,"65,144","8,050","20,004","20,472","113,670",0,0,0,"85,148"
Ketchikan,AK,"21,247","6,757","60,864","42,323","131,192",4,0,4,"82,115"
Freeport,TX,0,0,0,0,0,"33,202","48,686","81,887","81,887"
San Diego,CA,0,0,0,0,0,"73,504","3,051","76,555","76,555"
Kawaihae Harbor,HI,"60,409","1,929","15,806","42,231","120,375",0,0,0,"76,215"
"Kahului, Maui",HI,"64,789","2,551","10,621","49,395","127,357",0,0,0,"75,410"
Petersburg,AK,"23,199","7,480","48,644","23,709","103,032",0,0,0,"71,844"
Port Manatee,FL,0,0,0,0,0,"50,537",382,"50,918","50,918"
Apra Harbor,GU,"43,739","6,767","5,244","3,620","59,370",0,0,0,"48,983"
"Portland, OR",OR,0,0,0,0,0,"21,534","20,157","41,690","41,690"
Galveston,TX,0,0,0,0,0,"19,259","20,687","39,947","39,947"
"Nawiliwili, Kauai",HI,"29,906","2,097","6,848","22,411","61,263",0,0,0,"36,755"
Panama City,FL,0,0,0,0,0,"25,538","5,632","31,170","31,170"
Iliuliuk Harbor,AK,0,1,13,1,15,261,"30,486","30,748","30,761"
Whittier,AK,"23,831","3,661","3,501","1,905","32,899",611,0,611,"27,943"
Hilo,HI,"21,597","2,470","6,083","9,358","39,508",0,0,0,"27,680"
