PORT NAME,STATE,DOMESTIC,,,,,FOREIGN,,,Grand
"Whittier, AK",AK,"28,736 ","3,968 ","2,107 ","2,139 ","36,950 ",0 ,0 ,0 ,"30,843 "
"Panama City Port Authority, FL",FL,0 ,0 ,0 ,0 ,0 ,"24,400 ","6,251 ","30,651 ","30,651 "
"Galveston, TX",TX,0 ,0 ,0 ,0 ,0 ,"19,235 ","6,948 ","26,183 ","26,183 "
"Port of Vancouver USA, WA",WA,0 ,"23,660 ","23,790 ",0 ,"47,450 ",627 ,283 ,910 ,"24,700 "
"Portland, ME",ME,0 ,0 ,0 ,0 ,0 ,"20,429 ",0 ,"20,429 ","20,429 "
"Kodiak, AK",AK,"8,894 ","4,088 ","7,951 ","4,030 ","24,962 ",0 ,78 ,78 ,"16,923 "
"Haines Borough, AK",AK,"8,957 ",866 ,"3,493 ","2,639 ","15,954 ",0 ,0 ,0 ,"12,449 "
"Skagway, AK",AK,"9,005 ","1,972 ","2,390 ","3,201 ","16,568 ",0 ,0 ,0 ,"11,395 "
"Cleveland-Cuyahoga County, OH",OH,0 ,0 ,0 ,0 ,0 ,"4,642 ",429 ,"5,071 ","5,071 "
"Kake, AK",AK,742 ,84 ,"3,936 ","1,732 ","6,495 ",0 ,0 ,0 ,"4,678 "
"Wrangell, AK",AK,"2,910 ",316 ,"1,639 ","1,459 ","6,325 ",0 ,0 ,0 ,"4,549 "
"Cordova, AK",AK,"1,716 ","1,133 ","2,122 ","1,280 ","6,250 ",0 ,0 ,0 ,"3,838 "
"Canaveral Port District, FL",FL,0 ,0 ,0 ,0 ,0 ,"2,118 ","1,683 ","3,801 ","3,801 "
"Nome, AK",AK,"3,293 ",504 ,342 ,280 ,"4,420 ",0 ,0 ,0 ,"3,635 "
"Kaumalapau, Lana'i, HI",HI,"2,929 ",145 ,314 ,"1,428 ","4,816 ",0 ,0 ,0 ,"3,244 "
"Illinois International Port District, IL",IL,0 ,0 ,0 ,0 ,0 ,"3,108 ",21 ,"3,129 ","3,129 "
"Yakutat, AK",AK,"2,548 ",636 ,465 ,"1,823 ","5,471 ",0 ,0 ,0 ,"3,013 "
"Calhoun Port Authority, TX",TX,0 ,0 ,0 ,0 ,0 ,"1,852 ","1,089 ","2,940 ","2,940 "
"Port of Longview, WA",WA,0 ,0 ,0 ,0 ,0 ,"2,811 ",20 ,"2,831 ","2,831 "
"False Pass, AK",AK,378 ,"2,252 ","2,311 ",699 ,"5,639 ",0 ,0 ,0 ,"2,688 "
"Dillingham, AK",AK,"1,969 ",569 ,575 ,"1,257 ","4,371 ",0 ,0 ,0 ,"2,544 "
"Bethel, AK",AK,"2,385 ",553 ,66 ,371 ,"3,375 ",0 ,0 ,0 ,"2,451 "
"Clallam County Port District, WA",WA,0 ,0 ,0 ,0 ,0 ,"2,422 ",0 ,"2,422 ","2,422 "
"Old Harbor, AK",AK,0 ,0 ,0 ,0 ,0 ,22 ,"1,651 ","1,673 ","1,673 "
"Kaunakakai, Moloka'i, HI",HI,"1,140 ",231 ,334 ,629 ,"2,334 ",0 ,0 ,0 ,"1,474 "
"Hoonah, AK",AK,"1,247 ",327 ,213 ,436 ,"2,223 ",0 ,0 ,0 ,"1,459 "
"Port of South Louisiana, LA",LA,0 ,0 ,0 ,0 ,0 ,104 ,"1,173 ","1,277 ","1,277 "
"Texas City, TX",TX,0 ,0 ,0 ,0 ,0 ,754 ,0 ,754 ,754 
"Valdez, AK",AK,2 ,0 ,578 ,383 ,964 ,30 ,0 ,30 ,611 
"Detroit/Wayne County Port Authority, MI",MI,0 ,0 ,0 ,0 ,0 ,581 ,1 ,582 ,582 
"Duluth-Superior, MN and WI",WI,0 ,0 ,0 ,0 ,0 ,323 ,194 ,517 ,517 
"Seward, AK",AK,460 ,0 ,0 ,403 ,863 ,0 ,0 ,0 ,460 
"Jefferson County Port District, WA",WA,0 ,0 ,0 ,0 ,0 ,226 ,133 ,359 ,359 
"Ocean Highway and Port Authority, FL",FL,0 ,0 ,0 ,0 ,0 ,254 ,0 ,254 ,254 
"Port of Pensacola, FL",FL,0 ,0 ,0 ,0 ,0 ,239 ,2 ,241 ,241 
"Port of Greater Baton Rouge, LA",LA,0 ,354 ,135 ,0 ,489 ,2 ,28 ,30 ,165 
"Bellingham, WA",WA,0 ,0 ,0 ,0 ,0 ,0 ,153 ,153 ,153 
"Kivalina, AK",AK,48 ,63 ,86 ,996 ,"1,193 ",0 ,0 ,0 ,134 
"Corpus Christi, TX",TX,0 ,0 ,0 ,0 ,0 ,127 ,2 ,129 ,129 
"Guayanilla, PR",PR,0 ,0 ,0 ,0 ,0 ,0 ,125 ,125 ,125 
"San Francisco Port Commission, CA",CA,0 ,0 ,0 ,0 ,0 ,95 ,0 ,95 ,95 
"Stockton Port District, CA",CA,0 ,0 ,0 ,0 ,0 ,74 ,0 ,74 ,74 
"Fall River Port Authority, MA",MA,0 ,0 ,0 ,0 ,0 ,74 ,0 ,74 ,74 
"Metlakatla, AK",AK,1 ,703 ,65 ,605 ,"1,375 ",0 ,0 ,0 ,66 
"Port Moller, AK",AK,49 ,11 ,0 ,60 ,120 ,0 ,0 ,0 ,49 
"Morehead City, NC",NC,0 ,0 ,0 ,0 ,0 ,24 ,12 ,36 ,36 
"New Bedford Port Authority, MA",MA,0 ,0 ,0 ,0 ,0 ,35 ,0 ,35 ,35 
"Hooper Bay, AK",AK,27 ,14 ,0 ,0 ,41 ,0 ,0 ,0 ,27 
"Port of Green Bay, WI",WI,0 ,0 ,0 ,0 ,0 ,26 ,0 ,26 ,26 
"Port Arthur, TX",TX,0 ,0 ,0 ,0 ,0 ,21 ,0 ,21 ,21 
"Cheboygan, MI",MI,0 ,0 ,0 ,0 ,0 ,19 ,0 ,19 ,19 
"Shishmaref, AK",AK,19 ,0 ,0 ,0 ,19 ,0 ,0 ,0 ,19 
"Plaquemines Port, Harbor and Terminal District, LA",LA,0 ,0 ,0 ,0 ,0 ,0 ,18 ,18 ,18 
"Utqiagvik (Barrow), AK",AK,16 ,0 ,0 ,0 ,16 ,0 ,0 ,0 ,16 
"Wainwright, AK",AK,16 ,6 ,0 ,0 ,22 ,0 ,0 ,0 ,16 
"Port of Pascagoula, MS",MS,0 ,0 ,0 ,0 ,0 ,14 ,0 ,14 ,14 
"Rogers City, MI",MI,0 ,0 ,0 ,0 ,0 ,14 ,0 ,14 ,14 
"Beaumont, TX",TX,0 ,0 ,0 ,0 ,0 ,4 ,10 ,14 ,14 
"Brevig Mission, AK",AK,8 ,0 ,6 ,27 ,41 ,0 ,0 ,0 ,14 
"Lake Charles Harbor and Terminal District, LA",LA,0 ,0 ,0 ,0 ,0 ,0 ,12 ,12 ,12 
"Port Huron, MI",MI,0 ,0 ,0 ,0 ,0 ,9 ,0 ,9 ,9 
"Buffalo, NY",NY,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,6 
"Richmond, VA",VA,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,6 
"Port Milwaukee, WI",WI,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,6 
"DeTour, MI",MI,0 ,0 ,0 ,0 ,0 ,6 ,0 ,6 ,6 
"Port of Providence, RI",RI,0 ,0 ,0 ,0 ,0 ,4 ,0 ,4 ,4 
"Sault Ste Marie, MI",MI,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,2 
"Rochester, NY",NY,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 
