PORT NAME,STATE,DOMESTIC,,,,,FOREIGN,,,Grand
,,InBound ,,OutBound ,,Total Domestic,InBound ,OutBound ,Total Foreign,Total
,,Loaded,Empty,Loaded,Empty,,Loaded,Loaded,Loaded,Loaded
"Port Authority of New York and New Jersey, NY & NJ","NY,NJ","28,057 ","4,708 ","28,061 ","4,708 ","65,534 ","5,352,134 ","1,252,065 ","6,604,199 ","6,660,317 "
"Port of Los Angeles, CA",CA,0 ,0 ,0 ,0 ,0 ,"5,231,585 ","1,192,756 ","6,424,341 ","6,424,341 "
"Port of Long Beach, CA",CA,"39,742 ","19,589 ","319,651 ","2,001 ","380,984 ","4,675,674 ","1,056,910 ","5,732,584 ","6,091,977 "
"Port of Savannah, GA",GA,0 ,0 ,0 ,0 ,0 ,"3,012,685 ","1,317,230 ","4,329,915 ","4,329,915 "
"Port of Houston Authority of Harris County, TX",TX,804 ,0 ,0 ,567 ,"1,371 ","2,034,774 ","1,216,979 ","3,251,753 ","3,252,557 "
"Port of Virginia, VA",VA,"32,132 ","9,498 ","36,388 ","1,022 ","79,040 ","1,809,971 ","983,373 ","2,793,344 ","2,861,864 "
"Port of Charleston, SC",SC,0 ,0 ,0 ,0 ,0 ,"1,491,989 ","634,282 ","2,126,271 ","2,126,271 "
"Port of Oakland, CA",CA,"18,585 ","38,693 ","85,057 ","1,867 ","144,201 ","1,032,499 ","655,035 ","1,687,534 ","1,791,176 "
"Tacoma, WA",WA,"109,164 ","165,111 ","369,367 ","1,687 ","645,330 ","677,679 ","362,981 ","1,040,660 ","1,519,192 "
"Port of Seattle, WA",WA,"62,606 ","109,898 ","109,206 ","15,954 ","297,665 ","705,931 ","207,408 ","913,339 ","1,085,151 "
"Jacksonville, FL",FL,"90,969 ","131,738 ","501,387 ","2,747 ","726,840 ","212,193 ","98,003 ","310,196 ","902,551 "
"PortMiami, FL",FL,0 ,0 ,0 ,0 ,0 ,"578,156 ","310,807 ","888,963 ","888,963 "
"San Juan, PR",PR,"429,599 ","2,096 ","129,157 ","154,852 ","715,703 ","217,324 ","55,950 ","273,274 ","832,029 "
"Honolulu, O'ahu, HI",HI,"484,985 ","157,941 ","301,732 ","122,118 ","1,066,777 ","33,886 ","8,161 ","42,046 ","828,763 "
"Baltimore, MD",MD,"35,993 ",774 ,"23,096 ","6,310 ","66,173 ","521,729 ","210,044 ","731,773 ","790,862 "
"Port Everglades, FL",FL,0 ,0 ,0 ,0 ,0 ,"406,970 ","351,521 ","758,490 ","758,490 "
"Philadelphia Regional Port Authority, PA",PA,"23,166 ","6,197 ","31,806 ","9,137 ","70,305 ","535,820 ","137,708 ","673,528 ","728,500 "
"Mobile, AL",AL,0 ,0 ,0 ,0 ,0 ,"292,962 ","147,464 ","440,427 ","440,427 "
"Port of Alaska, AK",AK,"323,565 ","1,442 ","96,139 ","135,577 ","556,724 ",49 ,0 ,49 ,"419,753 "
"Port of New Orleans, LA",LA,135 ,213 ,804 ,0 ,"1,152 ","126,820 ","224,979 ","351,799 ","352,738 "
"Wilmington, NC",NC,0 ,0 ,0 ,0 ,0 ,"120,996 ","116,187 ","237,183 ","237,183 "
"Wilmington, DE",DE,0 ,0 ,0 ,0 ,0 ,"187,541 ","16,850 ","204,391 ","204,391 "
"Oxnard Harbor District, CA",CA,0 ,0 ,0 ,0 ,0 ,"135,735 ","62,093 ","197,829 ","197,829 "
"South Jersey Port Corporation, NJ",NJ,"38,188 ","23,114 ","48,766 ",451 ,"110,519 ","70,077 ","6,063 ","76,140 ","163,094 "
"Port of Gulfport, MS",MS,0 ,0 ,0 ,0 ,0 ,"94,143 ","57,897 ","152,040 ","152,040 "
"Port of Boston, MA",MA,0 ,0 ,0 ,0 ,0 ,"97,693 ","33,014 ","130,707 ","130,707 "
"Port of Palm Beach District, FL",FL,0 ,0 ,0 ,0 ,0 ,"29,042 ","93,025 ","122,067 ","122,067 "
"Guaynabo, PR",PR,"120,554 ","1,102 ",0 ,0 ,"121,656 ",0 ,0 ,0 ,"120,554 "
"Juneau, AK",AK,"84,782 ","11,407 ","26,618 ","38,652 ","161,458 ",4 ,0 ,4 ,"111,403 "
"Port of Portland, OR",OR,0 ,0 ,0 ,0 ,0 ,"79,542 ","31,041 ","110,583 ","110,583 "
"Tampa Port Authority, FL",FL,0 ,0 ,0 ,0 ,0 ,"92,787 ","12,910 ","105,697 ","105,697 "
"Ketchikan, AK",AK,"23,723 ","9,359 ","70,640 ","43,940 ","147,662 ",4 ,0 ,4 ,"94,366 "
"Manatee County Port Authority, FL",FL,0 ,0 ,0 ,0 ,0 ,"84,100 ","8,216 ","92,316 ","92,316 "
"San Diego Unified Port District, CA",CA,0 ,0 ,0 ,0 ,0 ,"79,417 ","9,864 ","89,282 ","89,282 "
"Kahului, Maui, HI",HI,"77,421 ","3,171 ","10,978 ","58,615 ","150,185 ",2 ,0 ,2 ,"88,401 "
"Petersburg, AK",AK,"26,972 ","10,732 ","55,735 ","25,144 ","118,583 ",0 ,0 ,0 ,"82,707 "
"Kawaihae, Hawai'i, HI",HI,"65,234 ","1,766 ","13,742 ","47,795 ","128,536 ",0 ,0 ,0 ,"78,975 "
"Unalaska Island, AK",AK,"20,503 ","15,832 ","17,094 ","12,826 ","66,254 ",162 ,"29,503 ","29,665 ","67,261 "
"Port Freeport, TX",TX,0 ,0 ,0 ,0 ,0 ,"42,708 ","18,725 ","61,432 ","61,432 "
"Nawiliwili, Kaua'i, HI",HI,"35,182 ","1,607 ","6,515 ","28,014 ","71,318 ",0 ,0 ,0 ,"41,697 "
"Port of Everett, WA",WA,0 ,0 ,0 ,0 ,0 ,"35,507 ","1,318 ","36,825 ","36,825 "
"Hilo, Hawai'i, HI",HI,"25,473 ","5,135 ","10,858 ","12,499 ","53,964 ",0 ,0 ,0 ,"36,331 "
