iso_a3,country,month,origin_risk,fruit_production_score,risk_bucket,total_passengers,passenger_score,route_risk
CRI,Costa Rica,6,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),223966.0,0.3843927610096928,0.04669716839003023
PER,Peru,7,0.1726436630120766,0.8005245043468159,0.1–0.25 (elevated),105302.0,0.2635739368410165,0.04550436993074681
ETH,Ethiopia,7,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),51584.0,0.1844767595652027,0.044991491627119205
SLV,El Salvador,8,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),424793.0,0.5293864600374089,0.0443549657076699
SLV,El Salvador,7,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),420757.0,0.5268655816019401,0.044143752378657815
CRI,Costa Rica,5,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),197168.0,0.3606636462934952,0.043814485420824466
SLV,El Salvador,12,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),404859.0,0.5168161215122306,0.043301752268514904
ETH,Ethiopia,6,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),47344.0,0.1767325840439427,0.043102787548920336
PER,Peru,8,0.1726436630120766,0.8005245043468159,0.1–0.25 (elevated),94356.0,0.2494990603586188,0.04307443169838314
CRI,Costa Rica,11,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),189463.0,0.3535463503353756,0.04294985527803775
PER,Peru,5,0.1726436630120766,0.8005245043468159,0.1–0.25 (elevated),92019.0,0.2463899039080683,0.04253765553988248
PER,Peru,6,0.1726436630120766,0.8005245043468159,0.1–0.25 (elevated),91200.0,0.2452909767965734,0.04234793273797072
SLV,El Salvador,3,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),378296.0,0.4995742305066437,0.04185712997078151
ETH,Ethiopia,9,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),43643.0,0.1696842181052093,0.04138378241317958
SLV,El Salvador,6,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),360501.0,0.4876827456231958,0.04086079469582693
SLV,El Salvador,11,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),360345.0,0.4875772164561714,0.0408519528705483
ARG,Argentina,10,0.1325054036250992,0.8010294300800275,0.1–0.25 (elevated),143612.0,0.3078077275928214,0.04078618718361138
SLV,El Salvador,4,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),356823.0,0.485188583802381,0.040651819834581326
PER,Peru,10,0.1726436630120766,0.8005245043468159,0.1–0.25 (elevated),83798.0,0.2351261757441546,0.04059304425049212
PER,Peru,9,0.1726436630120766,0.8005245043468159,0.1–0.25 (elevated),82876.0,0.2338290926202104,0.040369111068743246
SLV,El Salvador,2,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),350939.0,0.4811715826983246,0.04031525296015559
ARG,Argentina,4,0.1325054036250992,0.8010294300800275,0.1–0.25 (elevated),138935.0,0.3027540672268381,0.0401165498770326
SLV,El Salvador,5,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),346090.0,0.4778357939199546,0.04003576187369642
SLV,El Salvador,9,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),317793.0,0.457884894924516,0.03836416369810777
BRB,Barbados,8,0.1893736122584669,0.3856145137241386,0.1–0.25 (elevated),62119.0,0.2024400245924352,0.038336798722762334
ETH,Ethiopia,3,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),37228.0,0.156718045277093,0.03822150084661842
ETH,Ethiopia,10,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),36710.0,0.155623918289162,0.037954657449474384
TTO,Trinidad and Tobago,1,0.7570850380394183,0.5381477975217088,0.5–1 (very high),3784.0,0.0499642896511023,0.037827216131117294
KOR,South Korea,7,0.0712363508388476,0.7445089689298492,0.05–0.1 (moderate),424447.0,0.5291708196801591,0.03769619816441638
SLV,El Salvador,10,0.0837856066521527,0.6208015904696346,0.05–0.1 (moderate),304688.0,0.4483444814723661,0.03756481436930703
ETH,Ethiopia,5,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),35633.0,0.1533240729334809,0.03739375496339606
CRI,Costa Rica,10,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),141900.0,0.3059675375145574,0.03716984051330743
KOR,South Korea,8,0.0712363508388476,0.7445089689298492,0.05–0.1 (moderate),412210.0,0.5214869143535922,0.03714882478876057
ETH,Ethiopia,12,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),34919.0,0.1517801761485072,0.03701721853984874
KOR,South Korea,9,0.0712363508388476,0.7445089689298492,0.05–0.1 (moderate),404328.0,0.5164770906363524,0.036791943228798495
BRB,Barbados,4,0.1893736122584669,0.3856145137241386,0.1–0.25 (elevated),57023.0,0.1939586642137706,0.03673065287098877
JOR,Jordan,8,0.2408565656697095,0.6532131926839403,0.1–0.25 (elevated),35184.0,0.1523550168405152,0.03669570611875725
BRB,Barbados,12,0.1893736122584669,0.3856145137241386,0.1–0.25 (elevated),56230.0,0.1926052829895517,0.036474358179795656
GBR,United Kingdom,7,0.0360652209517828,0.6691356619681497,0.01–0.05 (low),1972921.0,1.0,0.0360652209517828
GBR,United Kingdom,8,0.0360652209517828,0.6691356619681497,0.01–0.05 (low),1867094.0,1.0,0.0360652209517828
GBR,United Kingdom,6,0.0360652209517828,0.6691356619681497,0.01–0.05 (low),1513701.0,0.9993191328018652,0.03604066532584325
BRB,Barbados,7,0.1893736122584669,0.3856145137241386,0.1–0.25 (elevated),53842.0,0.1884710913451152,0.03569145137431994
BRB,Barbados,3,0.1893736122584669,0.3856145137241386,0.1–0.25 (elevated),53703.0,0.1882276530293612,0.03564535058110349
CRI,Costa Rica,9,0.1214829547449587,0.790526233091162,0.1–0.25 (elevated),130025.0,0.2928853066545881,0.035580572453782676
ETH,Ethiopia,4,0.2438870442713794,0.7117603324317286,0.1–0.25 (elevated),31931.0,0.1451411010668175,0.03539803414147967
