iso_a3,country,month,max_risk,mean_risk,total_risk,top3_mean,high_species_count,moderate_species_count,base_origin_risk,multi_species_boost,origin_country_risk_month
ALB,Albania,1,0.00207995,0.0003654713888888,0.0032892425,0.0010742533333333,0,0,0.0016776713333333,1.0,0.0016776713333333
ALB,Albania,2,0.00207995,0.0003654713888888,0.0032892425,0.0010742533333333,0,0,0.0016776713333333,1.0,0.0016776713333333
ALB,Albania,3,0.00207995,0.0003654713888888,0.0032892425,0.0010742533333333,0,0,0.0016776713333333,1.0,0.0016776713333333
ALB,Albania,4,0.0083198,0.0014618855555555,0.01315697,0.0042970133333333,0,0,0.0067106853333333,1.0,0.0067106853333333
ALB,Albania,5,0.0083198,0.0014618855555555,0.01315697,0.0042970133333333,0,0,0.0067106853333333,1.0,0.0067106853333333
ALB,Albania,6,0.0207995,0.0036547138888888,0.0328924249999999,0.0107425333333333,0,0,0.0167767133333333,1.0,0.0167767133333333
ALB,Albania,7,0.041599,0.0073094277777777,0.0657848499999999,0.0214850666666666,0,0,0.0335534266666666,1.0,0.0335534266666666
ALB,Albania,8,0.041599,0.0073094277777777,0.0657848499999999,0.0214850666666666,0,0,0.0335534266666666,1.0,0.0335534266666666
ALB,Albania,9,0.0207995,0.0036547138888888,0.0328924249999999,0.0107425333333333,0,0,0.0167767133333333,1.0,0.0167767133333333
ALB,Albania,10,0.0083198,0.0014618855555555,0.01315697,0.0042970133333333,0,0,0.0067106853333333,1.0,0.0067106853333333
ALB,Albania,11,0.00207995,0.0003654713888888,0.0032892425,0.0010742533333333,0,0,0.0016776713333333,1.0,0.0016776713333333
ALB,Albania,12,0.00207995,0.0003654713888888,0.0032892425,0.0010742533333333,0,0,0.0016776713333333,1.0,0.0016776713333333
DZA,Algeria,1,0.00207995,0.0003654713888888,0.0032892425,0.0010742533333333,0,0,0.0016776713333333,1.0,0.0016776713333333
DZA,Algeria,2,0.0083198,0.0014618855555555,0.01315697,0.0042970133333333,0,0,0.0067106853333333,1.0,0.0067106853333333
DZA,Algeria,3,0.0207995,0.0036547138888888,0.0328924249999999,0.0107425333333333,0,0,0.0167767133333333,1.0,0.0167767133333333
DZA,Algeria,4,0.041599,0.0073094277777777,0.0657848499999999,0.0214850666666666,0,0,0.0335534266666666,1.0,0.0335534266666666
DZA,Algeria,5,0.041599,0.0073094277777777,0.0657848499999999,0.0214850666666666,0,0,0.0335534266666666,1.0,0.0335534266666666
DZA,Algeria,6,0.041599,0.0073094277777777,0.0657848499999999,0.0214850666666666,0,0,0.0335534266666666,1.0,0.0335534266666666
DZA,Algeria,7,0.0332792,0.0058475422222222,0.05262788,0.0171880533333333,0,0,0.0268427413333333,1.0,0.0268427413333333
DZA,Algeria,8,0.0332792,0.0058475422222222,0.05262788,0.0171880533333333,0,0,0.0268427413333333,1.0,0.0268427413333333
DZA,Algeria,9,0.041599,0.0073094277777777,0.0657848499999999,0.0214850666666666,0,0,0.0335534266666666,1.0,0.0335534266666666
DZA,Algeria,10,0.041599,0.0073094277777777,0.0657848499999999,0.0214850666666666,0,0,0.0335534266666666,1.0,0.0335534266666666
DZA,Algeria,11,0.0207995,0.0036547138888888,0.0328924249999999,0.0107425333333333,0,0,0.0167767133333333,1.0,0.0167767133333333
DZA,Algeria,12,0.0083198,0.0014618855555555,0.01315697,0.0042970133333333,0,0,0.0067106853333333,1.0,0.0067106853333333
ARG,Argentina,1,0.34394,0.0685911111111111,0.61732,0.1740743333333333,0,1,0.2759937333333333,1.1,0.3035931066666666
ARG,Argentina,2,0.34394,0.0685911111111111,0.61732,0.1740743333333333,0,1,0.2759937333333333,1.1,0.3035931066666666
ARG,Argentina,3,0.34394,0.0685911111111111,0.61732,0.1740743333333333,0,1,0.2759937333333333,1.1,0.3035931066666666
ARG,Argentina,4,0.137576,0.0274364444444444,0.246928,0.0696297333333333,0,0,0.1103974933333333,1.0,0.1103974933333333
ARG,Argentina,5,0.034394,0.0068591111111111,0.061732,0.0174074333333333,0,0,0.0275993733333333,1.0,0.0275993733333333
ARG,Argentina,6,0.034394,0.0068591111111111,0.061732,0.0174074333333333,0,0,0.0275993733333333,1.0,0.0275993733333333
ARG,Argentina,7,0.034394,0.0068591111111111,0.061732,0.0174074333333333,0,0,0.0275993733333333,1.0,0.0275993733333333
ARG,Argentina,8,0.034394,0.0068591111111111,0.061732,0.0174074333333333,0,0,0.0275993733333333,1.0,0.0275993733333333
ARG,Argentina,9,0.034394,0.0068591111111111,0.061732,0.0174074333333333,0,0,0.0275993733333333,1.0,0.0275993733333333
ARG,Argentina,10,0.137576,0.0274364444444444,0.246928,0.0696297333333333,0,0,0.1103974933333333,1.0,0.1103974933333333
ARG,Argentina,11,0.34394,0.0685911111111111,0.61732,0.1740743333333333,0,1,0.2759937333333333,1.1,0.3035931066666666
ARG,Argentina,12,0.34394,0.0685911111111111,0.61732,0.1740743333333333,0,1,0.2759937333333333,1.1,0.3035931066666666
ARM,Armenia,1,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
ARM,Armenia,2,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
ARM,Armenia,3,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
ARM,Armenia,4,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
ARM,Armenia,5,0.0120118,0.0042057,0.042057,0.0120112666666666,0,0,0.0120115866666666,1.0,0.0120115866666666
ARM,Armenia,6,0.0120118,0.0042057,0.042057,0.0120112666666666,0,0,0.0120115866666666,1.0,0.0120115866666666
ARM,Armenia,7,0.0300295,0.01051425,0.1051425,0.0300281666666666,0,0,0.0300289666666666,1.0,0.0300289666666666
ARM,Armenia,8,0.0300295,0.01051425,0.1051425,0.0300281666666666,0,0,0.0300289666666666,1.0,0.0300289666666666
ARM,Armenia,9,0.0300295,0.01051425,0.1051425,0.0300281666666666,0,0,0.0300289666666666,1.0,0.0300289666666666
ARM,Armenia,10,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
ARM,Armenia,11,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
ARM,Armenia,12,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
AUS,Australia,1,0.71783,0.2945914285714285,2.06214,0.5649533333333333,2,4,0.6566793333333333,1.4,0.9193510666666664
AUS,Australia,2,0.71783,0.2945914285714285,2.06214,0.5649533333333333,2,4,0.6566793333333333,1.4,0.9193510666666664
AUS,Australia,3,0.71783,0.2945914285714285,2.06214,0.5649533333333333,2,4,0.6566793333333333,1.4,0.9193510666666664
AUS,Australia,4,0.71783,0.2945914285714285,2.06214,0.5649533333333333,2,4,0.6566793333333333,1.4,0.9193510666666664
AUS,Australia,5,0.358915,0.1472957142857142,1.03107,0.2824766666666666,0,2,0.3283396666666666,1.2,0.3940075999999999
AUS,Australia,6,0.143566,0.0589182857142857,0.412428,0.1129906666666666,0,0,0.1313358666666666,1.0,0.1313358666666666
AUS,Australia,7,0.143566,0.0589182857142857,0.412428,0.1129906666666666,0,0,0.1313358666666666,1.0,0.1313358666666666
AUS,Australia,8,0.143566,0.0589182857142857,0.412428,0.1129906666666666,0,0,0.1313358666666666,1.0,0.1313358666666666
AUS,Australia,9,0.358915,0.1472957142857142,1.03107,0.2824766666666666,0,2,0.3283396666666666,1.2,0.3940075999999999
AUS,Australia,10,0.71783,0.2945914285714285,2.06214,0.5649533333333333,2,4,0.6566793333333333,1.4,0.9193510666666664
AUS,Australia,11,0.71783,0.2945914285714285,2.06214,0.5649533333333333,2,4,0.6566793333333333,1.4,0.9193510666666664
AUS,Australia,12,0.71783,0.2945914285714285,2.06214,0.5649533333333333,2,4,0.6566793333333333,1.4,0.9193510666666664
AUT,Austria,1,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
AUT,Austria,2,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
AUT,Austria,3,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
AUT,Austria,4,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
AUT,Austria,5,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
AUT,Austria,6,0.0112902,0.0013002599999999,0.0130025999999998,0.0040647333333333,0,0,0.0084000133333333,1.0,0.0084000133333333
AUT,Austria,7,0.0282255,0.00325065,0.0325065,0.0101618333333333,0,0,0.0210000333333333,1.0,0.0210000333333333
AUT,Austria,8,0.0282255,0.00325065,0.0325065,0.0101618333333333,0,0,0.0210000333333333,1.0,0.0210000333333333
AUT,Austria,9,0.0112902,0.0013002599999999,0.0130025999999998,0.0040647333333333,0,0,0.0084000133333333,1.0,0.0084000133333333
AUT,Austria,10,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
AUT,Austria,11,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
AUT,Austria,12,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
AZE,Azerbaijan,1,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
AZE,Azerbaijan,2,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
AZE,Azerbaijan,3,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
AZE,Azerbaijan,4,0.00300295,0.001051425,0.01051425,0.0030028166666666,0,0,0.0030028966666666,1.0,0.0030028966666666
AZE,Azerbaijan,5,0.0300295,0.01051425,0.1051425,0.0300281666666666,0,0,0.0300289666666666,1.0,0.0300289666666666
AZE,Azerbaijan,6,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
AZE,Azerbaijan,7,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
